arthropods_type,binominal_name ,taxonomy_order,taxonomy_family,taxonomy_sub-family,genome,reference_genome,genome_size,habitat,natural_landscape,survival_temperature_ranges (ºC),survival_humidity_%,distribution,blood_meal,feeding_period,adult_life_expectancy_(day),anthropophilic_behaviour,eggs_viability_(days),lifecycle_time_(days),main_vector,secondary_vector,experimental infection,
tick,Ixodes scapularis,Ixodida,Ixodidae,Ixodinae,tbc,tbc,tbc,forest/rural,ground,unk,unk,North America/Neartic,eclectic,unk,2 years,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Ixodes uriae,Ixodida,Ixodidae,Ixodinae,tbc,tbc,tbc,unk,ground,−30 to +40,unk,"North America, polar areas, Afrotropical, Australasian,Nearctic, Neotropical and Palaearctic Regions",birds,unk,unk,yes,unk,270 - 360,tbc,tbc,tbc,tbc
mosquito,Lutzia tigripes,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,ground_water_habitats,unk,unk,Afrotropical,birds,night,unk,rarely,unk,unk,tbc,tbc,tbc,tbc
sandfly,Lutzomyia longipalpis,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban,soil,25,80,Neotropical,eclectic,night,20 days,yes,6-9 days,28 - 36,tbc,tbc,tbc,tbc
sandfly,Lutzomyia trapidoi,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,-,-,-,-,-,-,-,-,-,-,-,tbc,tbc,tbc,tbc
mosquito,Mansonia africana,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,27-29,>70,Africa,mammals,crepuscular/night,unk,yes,unk,~40,tbc,tbc,tbc,tbc
mosquito,Mansonia maculipennis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,unk,unk,Africa,birds,crepuscular/night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Mansonia septempunctata,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,unk,unk,Oceania,mammals,crepuscular/night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Mansonia uniformis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,27-29,>70,Asia/Africa,mammals,crepuscular/night,unk,yes,unk,~40,tbc,tbc,tbc,tbc
sandfly,Nyssomyia flaviscutellata,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,forest,soil,unk,>70,Neotropical,mammals,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sandfly,Nyssomyia trapidoi,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,forest/rural,soil,unk,>70,Neotropical,eclectic,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sandfly,Nyssomyia umbratilis,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,forest ,soil,unk,>70,Neotropical,eclectic,day/night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sandfly,Nyssomyia ylephiletor,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,forest,soil,unk,>70,Neotropical,eclectic,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus angustivittatus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,bodies of water,unk,unk,Neotropical,mammals ,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus atlanticus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodeis of water,unk,unk,North America,small mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus caballus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,ground_water_habitats,unk,unk,Afrotropical,mammals/birds,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus campestris,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,ground_water_habitats,unk,unk,North America,mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus camptorhynchus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,rural,saline water,unk,unk,Oceania,mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus caspius,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,11.5 - 36,52 - 92,"Africa, Asia, Europe",mammals,corpuscular-nocturnal,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus communis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,bodies of water,~20,unk,"Europe, Asia, America",mammals,,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus fulvus pallens,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,muddy water,unk,unk,,mammals,day,unk,yes,unk,10,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus melanimon,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,,bodies of fresh water,unk,unk,North America,mammals,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus normanensis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,fresh water pools/swampy,unk,unk,Oceania,mammals,,unk,,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus scapularis,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,puddles_ground,unk,>70,neotropical,eclectic,day/twilight,25 - 30,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus squamiger,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,coastal salt marshes,unk,unk,North America,,,unk,,unk,48,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus trivittatus,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,rural/forest,floodwater,~27,>80,North America,mammals/birds,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Ochlerotatus vigilax,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,Coast,estuarine pools of saltmarshes,unk,unk,Asia/Oceania,,,unk,,unk,unk,tbc,tbc,tbc,tbc
swallow bug,Oeciacus vicarius,Hemiptera,Cimicidae,Cimicinae,tbc,tbc,tbc,urban/rural,bird nests,~28,>70,North America,birds,,unk,yes,unk,60 days,tbc,tbc,tbc,tbc
tick,Ornithodoros muesebecki,Ixodida,Argasidae,no,tbc,tbc,tbc,rural,birds,unk,unk,Asia ,birds,,unk,,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros alactagalis,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,mice,26,>90,Palearctic,"mammals, lizard",,unk,yes,unk,150 - 300,tbc,tbc,tbc,tbc
tick,Ornithodoros amblus,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,birds,unk,unk,Neotropical,birds,,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros capensis,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,birds,unk,unk,Cosmopolitan,birds/mammals,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros coriaceus,Ixodida,Argasidae,no,tbc,tbc,tbc,rural,birds/mammals,unk,>70,North America,birds/mammals,,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros denmarki,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,birds,unk,>70,unk,birds,unk,unk,unk,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros erraticus,Ixodida,Argasidae,no,tbc,tbc,tbc,rural,mammals/burrow/birds,unk,unk,"Iberian Peninsula, Western Asia and Northern Africa",mammals,night,unk,yes,unk,154,tbc,tbc,tbc,tbc
tick,Ornithodoros kohlsi,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,bats,unk,unk,Neotropical,bats,,unk,,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros maritimus,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,birds,unk,>70,Europe/Africa,birds,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros moubat aporcinus,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,birds,unk,unk,Africa,birds/mammals,,unk,,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros papillipes,Ixodida,Argasidae,no,tbc,tbc,tbc,forest/rural,mammals/burrow/birds,20.3 - 28.5,unk,Palearctic,birds/mammals,,unk,,unk,88 - 147,tbc,tbc,tbc,tbc
tick,Ornithodoros savignyi,Ixodida,Argasidae,no,tbc,tbc,tbc,semi-deserts/deserts,mammals,unk,unk,Africa/Asia,mammals,,15 - 20 (years),,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros tadaridae,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,mammals,unk,>70,Neotropical,bats,night,unk,,unk,unk,tbc,tbc,tbc,tbc
tick,Ornithodoros verrucosus,Ixodida,Argasidae,no,tbc,tbc,tbc,forest,mammals,26,80 - 90,Palearctic,mammals,night,unk,,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus major,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,unk,unk,Asia/Africa/Europa,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus neglectus,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,~27,unk,Europe,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus papatasi,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,26 - 30,unk,Africa,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus perfiliewi,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,unk,unk,Europe/Africa,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus perniciosus,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,~28,>90,Europe/Africa,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
sand fly,Phlebotomus spp.,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,,,,,,,,,,,,tbc,tbc,tbc,tbc
sand fly,Phlebotomus tobbi,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,urban/peri-urban,soil,unk,unk,Europe/Asia,mammals/birds,night*,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Psorophora albipes,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,puddles_ground,~26,>70,Neotropical,eclectic,day,~40,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Psorophora ferox,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,puddles_ground,~26,>70,Neotropical,eclectic,day,~40,yes,unk,unk,tbc,tbc,tbc,tbc
sandfly,Psychodopygus panamensis,Diptera,Psychodidae,Phlebotominae,tbc,tbc,tbc,forest,puddles_ground,unk,unk,neotropical,mammals,day/night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus appendiculatus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,savannah and woodland savannah,mammals/soil,unk,unk,Africa/Asia/Europe,large mammals,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus decoloratus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest/rural,mammals/soil,unk,unk,Africa/Asia/Oceania,large mammals,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus geigyi,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,rural,mammals/soil,unk,unk,Africa,large mammals,unk,unk,no,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus guilhoni,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest,mammals/soil,unk,unk,Africa,mammals,unk,unk,yes,unk,365,tbc,tbc,tbc,tbc
tick,Rhipicephalus microplus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest/rural,mammals/soil,unk,unk,Cosmopolitan,large mammals,unk,unk,rarely,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus muhsamae,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest/rural,small mammals/soil,unk,unk,Africa,mammals,unk,unk,unk,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus pravus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest/rural,mammals/soil,25-27,unk,Africa,large mammals,unk,unk,unk,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus pulchellus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,forest,mammals/soil,23-25,>70,Africa,large mammals,unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
tick,Rhipicephalus turanicus,Ixodida,Ixodidae,Rhipicephalinae,tbc,tbc,tbc,desert/semi-desert,mammals/birds,unk,unk,Palearctic,"mammals, birds, lizard",unk,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Sabethes glaucadaemon,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,~27,>70,neotropical,primate,day,~40,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Sabethes intermedius,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,~27,>70,neotropical,primate,day,~40,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Sabethes soperi,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,~27,>70,neotropical,primate,day,~40,yes,unk,unk,tbc,tbc,tbc,tbc
bugs,Stricticimex parvus,Hemiptera,Cimicidae,unk,tbc,tbc,tbc,forest,caves,27,>70,Asia,bats,night,unk,yes,unk,37 - 56,tbc,tbc,tbc,tbc
mosquito,Trichoprosopon pallidiventer,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,water with organic matter/ fruit husks,unk,>70,neotropical,eclectic,day/twilight,~35,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Trichoprosopon sp.,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/rural,water with organic matter/ fruit husks,,>70,neotropical,eclectic,day/twilight,,unk,,,tbc,tbc,tbc,tbc
mosquito,Verrallina funerea,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest/peri-urban,brackish water habitats,17 - 34,70,Asia/Australia,,night,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Wyeomyia melanocephala,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,unk,>70,neotropical,eclectic,day,unk,yes,unk,unk,tbc,tbc,tbc,tbc
mosquito,Wyeomyia sp.,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,,>70,neotropical,eclectic,day,,unk,,,tbc,tbc,tbc,tbc
mosquito,Wyeomyia spp.,Diptera,Culicidae,Culicinae,tbc,tbc,tbc,forest,leaf axils and bromeliads,,>70,neotropical,eclectic,day,,unk,,,tbc,tbc,tbc,tbc
